Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Custom],SKU [Custom],Packaging [Custom],Unit Price (@ Batch Size: 1) [Custom],Line Total [Custom],Batch Total [Custom],In Stock [Custom],MOQ [Custom],URL [Custom],Notes
,,,,,,,,,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,,,,,,,,,,
2,'-NLAST4051DTR2G,ON Semiconductor,NLAST4051DTR2G,https://octopart.com/nlast4051dtr2g-on+semiconductor-445224,,,,2,NLAST4051DTR2GOSCT-ND,NLAST4051DTR2G,NLAST4051DTR2G,Cut Tape,Cut Tape,,0.82028697,0.4874974282999999,0.8026463899999999,211,1,1261,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=00cf630&sid=459&ppid=445224&vpid=34062617&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=09833bd&sid=1106&ppid=445224&vpid=473373786&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=00e537d&sid=2401&ppid=445224&vpid=116317130&ct=offers,Farnell,2464612,Cut Tape,0.641,1.282,1.282,3755,1,https://octopart.com/click/track?ak=68b25f31&sig=0dc249f&sid=819&ppid=445224&vpid=206199120&ct=offers,
16,QRE1113,ON Semiconductor,QRE1113,https://octopart.com/qre1113-on+semiconductor-84331128,,,,16,QRE1113-ND,QRE1113,QRE1113,Tube,,,0.792062042,0.5158105592,0.682690446,10991,646,3394,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=0a14e08&sid=459&ppid=84331128&vpid=452472821&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=092d03a&sid=1106&ppid=84331128&vpid=451899349&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0bf3216&sid=2401&ppid=84331128&vpid=438586711&ct=offers,Avnet,QRE1113,,0.4762074571,7.6193193136,7.6193193136,15772,1,https://octopart.com/click/track?ak=68b25f31&sig=06b2d4a&sid=5822&ppid=84331128&vpid=450368001&ct=offers,
2,BSS138,ON Semiconductor,BSS138,https://octopart.com/bss138-on+semiconductor-19021258,,,,2,BSS138CT-ND,BSS138,BSS138,Cut Tape,,,0.27342899,,0.23814783,814070,189000,13677,1,3000,1,https://octopart.com/click/track?ak=68b25f31&sig=004b419&sid=459&ppid=19021258&vpid=452459305&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=05a773f&sid=1106&ppid=19021258&vpid=485898217&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0af2366&sid=2401&ppid=19021258&vpid=438580598&ct=offers,ExcessParts.Net,BSS138,,0.11466377,0.22932754,0.22932754,200,,https://octopart.com/click/track?ak=68b25f31&sig=03c28bd&sid=13803&ppid=19021258&vpid=81172639&ct=offers,
22,'-CRCW080510K0FKEAC,Vishay,CRCW080510K0FKEAC,https://octopart.com/crcw080510k0fkeac-vishay-23798533,,,,22,541-3976-1-ND,CRCW080510K0FKEAC,CRCW080510K0FKEAC,Cut Tape,Cut Tape,,0.042337392,0.0388974789,0.074090436,2081785,509250,477454,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=0d20d2d&sid=459&ppid=23798533&vpid=454353705&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=028f037&sid=1106&ppid=23798533&vpid=473524074&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=030ab9c&sid=2401&ppid=23798533&vpid=454250937&ct=offers,"Arrow Electronics, Inc.",CRCW080510K0FKEAC,Cut Tape,0.0388974789,0.8557445358,0.8557445358,509250,1,https://octopart.com/click/track?ak=68b25f31&sig=028f037&sid=1106&ppid=23798533&vpid=473524074&ct=offers,
8,'-ERJ-6ENF35R7V,Panasonic,ERJ-6ENF35R7V,https://octopart.com/erj-6enf35r7v-panasonic-55422637,,,,8,P35.7CCT-ND,ERJ-6ENF35R7V,ERJ-6ENF35R7V,Cut Tape,Cut Tape,,0.0882029,0.07938260999999999,0.0882029,15875,4900,95993,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=09c9812&sid=459&ppid=55422637&vpid=189121626&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0660927&sid=1106&ppid=55422637&vpid=473401578&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0f0ac6a&sid=2401&ppid=55422637&vpid=195943639&ct=offers,Digi-Key,P35.7CCT-ND,Cut Tape,0.0882029,0.7056232,0.7056232,15875,1,https://octopart.com/click/track?ak=68b25f31&sig=09c9812&sid=459&ppid=55422637&vpid=189121626&ct=offers,
8,0854-0-15-20-82-14-11-0,Mill-Max,0854-0-15-20-82-14-11-0,https://octopart.com/0854-0-15-20-82-14-11-0-mill-max-20463977,,,,8,ED1055-ND,0854-0-15-20-82-14-11-0,0854-0-15-20-82-14-11-0,Bulk,,Bulk,0.87320871,1.211025817,0.87320871,112317,526,0,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=0a25628&sid=459&ppid=20463977&vpid=40329792&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0bc0763&sid=1106&ppid=20463977&vpid=473313268&ct=offers,https://octopart.com/click/track?c=1&ak=68b25f31&sig=03ae4f1&sid=2401&ppid=20463977&vpid=41065394&ct=offers,Farnell,2751174,,0.702,5.616,5.616,111,1,https://octopart.com/click/track?ak=68b25f31&sig=03bcc03&sid=819&ppid=20463977&vpid=429766510&ct=offers,
1,BBONE-BLUE,BeagleBoard,BBONE-BLUE,https://octopart.com/bbone-blue-beagleboard-81066055,,,,1,,,,,,,,,,,,,,,,,,,Farnell,2612583,,69.39,69.39,69.39,2492,1,https://octopart.com/click/track?ak=68b25f31&sig=0b051db&sid=819&ppid=81066055&vpid=423723874&ct=offers,
4,30:1 MICRO METAL GEARMOTOR MP 6V DUAL,Pololu,30:1 MICRO METAL GEARMOTOR MP 6V DUAL,https://octopart.com/30%3A1+micro+metal+gearmotor+mp+6v+dual-pololu-75431235,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MICRO METAL GEARMOTOR BRACKET PAIR - WHI,Pololu,MICRO METAL GEARMOTOR BRACKET PAIR - WHI,https://octopart.com/micro+metal+gearmotor+bracket+pair+-+whi-pololu-75442825,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
8,R2-56X3/4,APM Hexseal,R2-56X3/4,https://octopart.com/r2-56x3%2F4-apm+hexseal-133757,,,,8,,,R2-56X3/4,,,,,,0.48511595,,,54,,,1,,,https://octopart.com/click/track?ak=68b25f31&sig=062e0ba&sid=2401&ppid=133757&vpid=230952262&ct=offers,Mouser,R2-56X3/4,,0.48511595,3.8809276,3.8809276,54,1,https://octopart.com/click/track?ak=68b25f31&sig=062e0ba&sid=2401&ppid=133757&vpid=230952262&ct=offers,
2,SEN-14722,SparkFun,SEN-14722,https://octopart.com/sen-14722-sparkfun-93101365,,,,2,1568-1880-ND,SEN-14722,SEN-14722,Bulk,,,19.298794519999998,17.596478549999997,19.8456525,111,8,22,1,1,1,https://octopart.com/click/track?c=1&ak=68b25f31&sig=0b0900d&sid=459&ppid=93101365&vpid=485092018&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0332f6e&sid=1106&ppid=93101365&vpid=492168591&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0545640&sid=2401&ppid=93101365&vpid=486713343&ct=offers,"Arrow Electronics, Inc.",SEN-14722,,17.596478549999997,35.192957099999994,35.192957099999994,8,1,https://octopart.com/click/track?ak=68b25f31&sig=0332f6e&sid=1106&ppid=93101365&vpid=492168591&ct=offers,
8,05.13.253,Ettinger,05.13.253,https://octopart.com/05.13.253-ettinger-5437306,,,,8,,,,,,,,,,,,,,,,,,,element14 APAC,1466796,,0.4796423356182361,3.837138684945889,3.837138684945889,14871,4,https://octopart.com/click/track?ak=68b25f31&sig=056c70d&sid=11744&ppid=5437306&vpid=132270724&ct=offers,
4,05.12.103,Ettinger,05.12.103,https://octopart.com/05.12.103-ettinger-5415987,,,,4,,,,,,,,,,,,,,,,,,,element14 APAC,1466834,,0.28778540137094166,1.1511416054837667,1.1511416054837667,10290,4,https://octopart.com/click/track?ak=68b25f31&sig=01c4ea7&sid=11744&ppid=5415987&vpid=132270698&ct=offers,
4,M2.5 6 PRSTMC Z100,TR Fastenings,M2.5 6 PRSTMC Z100,https://octopart.com/m2.5+6+prstmc+z100-tr+fastenings-95659952,,,,4,,,,,,,,,,,,,,,,,,,Farnell,1420388,,1.17,4.68,4.68,634,1,https://octopart.com/click/track?ak=68b25f31&sig=0602cf9&sid=819&ppid=95659952&vpid=509078641&ct=offers,
8,M3 12 PRSTMC Z100,TR Fastenings,M3 12 PRSTMC Z100,https://octopart.com/m3+12+prstmc+z100-tr+fastenings-95659955,,,,8,,,,,,,,,,,,,,,,,,,Farnell,1420391,,1.24,9.92,9.92,1097,1,https://octopart.com/click/track?ak=68b25f31&sig=05d7318&sid=819&ppid=95659955&vpid=509078647&ct=offers,
20,M3- HFST-Z100-,TR Fastenings,M3- HFST-Z100-,https://octopart.com/m3-+hfst-z100--tr+fastenings-7394229,,,,20,,,,,,,,,,,,,,,,,,,Farnell,1419447,,0.977,19.54,19.54,3192,1,https://octopart.com/click/track?ak=68b25f31&sig=02b8b90&sid=819&ppid=7394229&vpid=509078655&ct=offers,
4,M2.5- HFST-Z100-,TR Fastenings,M2.5- HFST-Z100-,https://octopart.com/m2.5-+hfst-z100--tr+fastenings-7512629,,,,4,,,,,,,,,,,,,,,,,,,Farnell,1419446,,1.01,4.04,4.04,1228,1,https://octopart.com/click/track?ak=68b25f31&sig=06cf466&sid=819&ppid=7512629&vpid=509078643&ct=offers,
4,DT000386,Duratool,DT000386,https://octopart.com/dt000386-duratool-89505181,,,,4,,,,,,,,,,,,,,,,,,,Newark,48AC6552,,5.16868994,20.67475976,20.67475976,28,1,https://octopart.com/click/track?ak=68b25f31&sig=0d0659c&sid=2402&ppid=89505181&vpid=477436522&ct=offers,
0,212X10,Dremec,212X10,https://octopart.com/212x10-dremec-53597534,,,,0,,,,,,,,,,,,,,,,,,,TME,TFM-M2.5X10/DR212,,,,,3170,10,https://octopart.com/click/track?ak=68b25f31&sig=0ad5945&sid=1532&ppid=53597534&vpid=180689506&ct=offers,
0,213X25,Dremec,213X25,https://octopart.com/213x25-dremec-53597544,,,,0,,,,,,,,,,,,,,,,,,,TME,TFM-M3X25/DR213,,,,,12040,10,https://octopart.com/click/track?ak=68b25f31&sig=0f4a038&sid=1532&ppid=53597544&vpid=180689516&ct=offers,
0,1874659,Bossard,1874659,https://octopart.com/1874659-bossard-20924902,,,,0,,,,,,,,,,,,,,,,,,,TME,B3/BN117,,,,,245493,100,https://octopart.com/click/track?ak=68b25f31&sig=0f10d11&sid=1532&ppid=20924902&vpid=195120838&ct=offers,
0,M2.5/BN109,Bossard,M2.5/BN109,https://octopart.com/m2.5%2Fbn109-bossard-30715687,,,,0,,,,,,,,,,,,,,,,,,,TME,B2.5/BN109,,,,,38815,100,https://octopart.com/click/track?ak=68b25f31&sig=06c4eca&sid=1532&ppid=30715687&vpid=88509478&ct=offers,
0,1154273,Bossard,1154273,https://octopart.com/1154273-bossard-30713602,,,,0,,,,,,,,,,,,,,,,,,,TME,B3X12/BN384,,,,,8200,200,https://octopart.com/click/track?ak=68b25f31&sig=0083844&sid=1532&ppid=30713602&vpid=88491571&ct=offers,
0,1135716,Bossard,1135716,https://octopart.com/1135716-bossard-30713551,,,,0,,,,,,,,,,,,,,,,,,,TME,B3X40/BN384,,,,,3200,200,https://octopart.com/click/track?ak=68b25f31&sig=017a52f&sid=1532&ppid=30713551&vpid=88490955&ct=offers,
0,1154192,Bossard,1154192,https://octopart.com/1154192-bossard-30713592,,,,0,,,,,,,,,,,,,,,,,,,TME,B2.5X6/BN384,,,,,3200,200,https://octopart.com/click/track?ak=68b25f31&sig=060e8c5&sid=1532&ppid=30713592&vpid=88491441&ct=offers,
